date,price,signal_action,target_pct_delta,total_score,ta_score,sentiment_score,portfolio_value,cash,shares,buy_hold_value,trade_executed,rsi,macd
2024-01-07 00:00:00-05:00,179.48495483398438,Buy,1.5,0.31790143472003224,0.31790143472003224,0.0,10000.0,9850.0,0.8357246441003556,10000.0,True,28.84172770525467,-1.321159310173016
2024-01-14 00:00:00-05:00,184.1806182861328,Hold,0.0,0.26374856718923767,0.26374856718923767,0.0,10003.924281667361,9850.0,0.8357246441003556,10261.61877782412,False,43.09248231862165,-1.586925788492806
2024-01-21 00:00:00-05:00,189.76783752441406,Strong Buy,3.0,0.6860217357637424,0.6860217357637424,0.0,10008.593658476784,9549.742190245697,2.417962254389163,10572.910565119004,True,56.96796427269936,-1.009978750059929
2024-01-28 00:00:00-05:00,190.6197967529297,Strong Buy,3.0,0.6910911129759011,0.6910911129759011,0.0,10010.653663733616,9249.422580333689,3.99345239249515,10620.37745332162,True,55.633917637920746,0.9464682741514707
2024-02-04 00:00:00-05:00,184.1112518310547,Hold,0.0,0.2627852745775299,0.2627852745775299,0.0,9984.66209944369,9249.422580333689,3.99345239249515,10257.754027425275,False,43.34598037433422,-0.38933921563977947
2024-02-11 00:00:00-05:00,187.3219451904297,Hold,0.0,0.23665176246211092,0.23665176246211092,0.0,9997.483850521256,9249.422580333689,3.99345239249515,10436.63773176388,False,50.223220404707654,-0.22822241256713482
2024-02-18 00:00:00-05:00,180.83485412597656,Sell,-3.0,-0.6633682989692732,-0.6633682989692732,0.0,9971.577961189581,9548.569919169377,2.3391953064840108,10075.209607024766,True,37.070604991914,-1.2862367880346142
2024-02-25 00:00:00-05:00,181.04315185546875,Sell,-3.0,-0.6762299936212345,-0.6762299936212345,0.0,9972.065210260762,9847.731875477199,0.686760772276104,10086.814910081219,True,40.45526147927224,-1.6521753127830436
2024-03-03 00:00:00-05:00,178.20631408691406,Sell,-3.0,-0.659992816990868,-0.659992816990868,0.0,9970.116981364006,9970.116981364006,0.0,9928.76056111483,True,36.182320260754764,-2.013087982058181
2024-03-10 00:00:00-05:00,169.34852600097656,Sell,-3.0,-0.628821729386841,-0.628821729386841,0.0,9970.116981364006,9970.116981364006,0.0,9435.249108072398,False,27.97940247022133,-4.33986615893582
2024-03-17 00:00:00-04:00,171.22325134277344,Sell,-3.0,-0.6633741639021571,-0.6633741639021571,0.0,9970.116981364006,9970.116981364006,0.0,9539.699386009672,False,37.07214839530448,-3.7314710417843173
2024-03-24 00:00:00-04:00,170.88601684570312,Hold,0.0,-0.2043582725186233,-0.2043582725186233,0.0,9970.116981364006,9970.116981364006,0.0,9520.910374006842,False,41.27849276805877,-2.534533612824305
2024-03-31 00:00:00-04:00,170.0924530029297,Hold,0.0,-0.20883282158932692,-0.20883282158932692,0.0,9970.116981364006,9970.116981364006,0.0,9476.696983335325,False,42.45600568140183,-2.4195289293915323
2024-04-07 00:00:00-04:00,168.2078399658203,Hold,0.0,-0.2031848635047572,-0.2031848635047572,0.0,9970.116981364006,9970.116981364006,0.0,9371.695812688318,False,40.969700922304526,-2.4870441534019676
2024-04-14 00:00:00-04:00,175.12142944335938,Hold,0.0,-0.26346138784460776,-0.26346138784460776,0.0,9970.116981364006,9970.116981364006,0.0,9756.886286393137,False,56.831944169633616,-1.2241625567189942
2024-04-21 00:00:00-04:00,163.66488647460938,Sell,-3.0,-0.666529319369329,-0.666529319369329,0.0,9970.116981364006,9970.116981364006,0.0,9118.585266714535,False,37.9024524656129,-1.857597532822325
2024-04-28 00:00:00-04:00,167.9300994873047,Hold,0.0,-0.227370205150432,-0.227370205150432,0.0,9970.116981364006,9970.116981364006,0.0,9356.221508517669,False,47.334264513271584,-1.4526920317466363
2024-05-05 00:00:00-04:00,181.8961944580078,Strong Buy,3.0,0.6484852423900075,0.6484852423900075,0.0,9970.116981364006,9671.013471923086,1.6443637555593313,10134.342158441845,True,66.84598884473488,0.5806136068436842
2024-05-12 00:00:00-04:00,181.8151397705078,Strong Buy,3.0,0.6587768358811246,0.6587768358811246,0.0,9969.983697973663,9371.913960983877,3.2894385899033893,10129.826198450937,True,64.1376747681251,3.0904946107111186
2024-05-19 00:00:00-04:00,188.589111328125,Strong Buy,3.0,0.6310487807441841,0.6310487807441841,0.0,9992.266261422197,9072.14597314121,4.8789682596259505,10507.237863059974,True,71.43453138310944,4.7984023194415215
2024-05-26 00:00:00-04:00,188.6983642578125,Strong Buy,3.0,0.6594427175988333,0.6594427175988333,0.0,9992.799302998414,8772.361994051258,6.467662365529101,10513.32488744531,True,63.96244273714912,4.6292694359733275
2024-06-02 00:00:00-04:00,190.9530487060547,Hold,0.0,0.1717804954950135,0.1717804954950135,0.0,10007.381840750453,8772.361994051258,6.467662365529101,10638.94457798303,False,67.29460644868065,4.225552914254024
2024-06-09 00:00:00-04:00,195.56175231933594,Strong Buy,3.0,0.6322913986814456,0.6322913986814456,0.0,10037.18937966395,8471.24631266134,8.00740967203831,10895.71839044793,True,71.10752666277749,4.394907928408628
2024-06-16 00:00:00-04:00,211.05653381347656,Strong Buy,3.0,0.6141493143894113,0.6141493143894113,0.0,10161.262442866253,8166.408439375353,9.451751942699266,11759.009773754826,True,75.88175937120754,7.326165147438871
2024-06-23 00:00:00-04:00,206.09024047851562,Strong Buy,3.0,0.6681217919940375,0.6681217919940375,0.0,10114.322270189521,7862.978771269667,10.924066533633606,11482.312858430945,True,61.67847579104276,7.3229965355150455
2024-06-30 00:00:00-04:00,209.1991424560547,Hold,0.0,0.1930411087740563,0.1930411087740563,0.0,10148.284122238703,7862.978771269667,10.924066533633606,11655.525258345728,False,61.6997082173536,6.17826791884508
